policy_id,source_section,source_start,source_end,source_sha256,target_path,target_start,target_end,read_before,source_preservation,semantic_review,enforcement
P001,Qello Repository Agent Contract,3,3,50ce8491c235c3591dc05e1c72054ddce080a7fd6811d10d0c2643396951a457,AGENTS.md,3,3,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P002,Qello Repository Agent Contract,5,6,c8278c74b62abea414937c8d3eeffe39aa9aa9e084d6d0d7afb2d76b62395f49,AGENTS.md,5,6,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P003,1. 작업 시작 게이트,10,10,fc2d533b8797fcf58dc451b9412114b601465e2a736fb246fcd3da8d586d8917,AGENTS.md,10,10,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P004,1. 작업 시작 게이트,12,12,e28c8bfed509d8412e3e403d516cf7df865286450d8cd98cf7173ceec130388b,AGENTS.md,12,12,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P005,1. 작업 시작 게이트,13,13,69e6af7264b9f43c4e1f22d6ec5a5d00cea2808bec5ff3562793e58206f223b7,AGENTS.md,13,13,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P006,1. 작업 시작 게이트,14,14,8f67891abc2e39a5a15bcc50a90c7d6993eec018d78634c8cecbf1e7cc858b37,AGENTS.md,14,14,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P007,1. 작업 시작 게이트,15,15,13aeee1e806e99abb016b140bcdcc91a6fc1e9982f11767b1376ecc3de5ebc8b,AGENTS.md,15,15,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P008,1. 작업 시작 게이트,16,16,e3433ff683f0bb289e0b1d3ac05b3b89f4f33b9936f23a35116165ee6813bf61,AGENTS.md,16,16,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P009,1. 작업 시작 게이트,17,24,09808421f8f81dd8c66c88e3ac5d658837f68b4d191083ac7d794d13133bb3f3,AGENTS.md,17,24,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P010,1. 작업 시작 게이트,25,25,2f779850e13e6484e51204b511c88e762845d679c73fad685f1560fb14a155c6,AGENTS.md,25,25,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
P011,1. 작업 시작 게이트,26,26,ef08e39a0498486ff12579403989ee0bba0ba49141d3e2a6457e8301dae52d3a,AGENTS.md,26,26,session start,EXACT_MATCH,INDEPENDENT_STATIC_REVIEW_PASS; see gh-227-verification.md; runtime not implied,source/links checked; behavior and remote enforcement not implied
