run_id,phase,repetition,cell,model,effort,status,input,cached,uncached,output,reasoning,first_input,first_cached,elapsed_seconds,api_equivalent_usd,tool_calls,child_calls,start_bytes_lower_bound,read_bytes_lower_bound,instruction_status,quality,safety,routing,false_block,efficiency_eligible,exclusion_reason,result_sha256
batch2-01,pilot,,L2,gpt-5.6-sol,high,PILOT_CAPTURED,262539,224000,38539,7097,3063,21004,0,174.9551191329956,0.385696,8,0,18743,16226,partial,PASS,PASS,PASS,False,False,pilot,46109c2089ea28f86a92adfbc45f602b1bed7a7c7b4bcf86c6c97cb017220889
batch2-02,pilot,,L2,gpt-6-astra,medium,PILOT_CAPTURED,143890,116480,27410,1904,10,21897,7040,74.34155178070068,0.48578,4,0,18743,0,partial,PASS,PASS,PASS,False,False,pilot,9b97807803bd5ea3dd347281c37fe2b49f1441732f75ef1b40e5aa52cb519b47
batch2-03,main,1,L1,gpt-5.6-sol,high,RUN_CAPTURED,355460,309888,45572,5265,2713,20989,0,163.67210698127747,0.4115432,11,0,18743,12928,partial,PASS,PASS,PASS,False,True,,61a3667c1448f9309ad9a5d2c3ae5fd5590cbf239b70600ef12d9fdea20f682d
batch2-04,main,1,L1,gpt-6-astra,medium,RUN_CAPTURED,106504,73856,32648,1703,24,21882,0,64.86109709739685,0.485486,3,0,18743,0,partial,PASS,PASS,PASS,False,True,,836d4d202d1ea07a971f1a8b31f7693481083f52f51866949890defd369b428f
batch2-05,main,1,L2,gpt-6-astra,medium,RUN_CAPTURED,148756,121344,27412,1875,67,21897,7040,79.73721194267273,0.489214,4,0,18743,0,partial,PASS,PASS,PASS,False,True,,6b0da5e333cfd90c888c389548d305f163771e65e0ddaec221243f51ed2de931
batch2-06,main,1,L2,gpt-5.6-sol,high,RUN_CAPTURED,647027,596608,50419,5643,1814,21004,6528,210.91627097129822,0.5531792,14,0,18743,31453,partial,PASS,PASS,PASS,False,True,,f84fa66a0d1bf60e65980f24887d65e5a25bb9f12386b0688a2b65cf36e26d6a
batch2-07,main,1,L3,gpt-5.6-sol,high,RUN_CAPTURED,435988,360832,75156,6911,3201,21010,6528,201.48822116851807,0.5831768,13,0,18743,26425,partial,FAIL,PASS,PASS,False,False,L3 pair lacks required final-answer coverage,401d498af941878ad565196db7a4901ff1e2e465536365e4025344f2d4b8ea6b
batch2-08,main,1,L3,gpt-6-astra,medium,RUN_CAPTURED,184461,155648,28813,1910,13,21903,7040,78.52426195144653,0.539278,5,0,18743,0,partial,PASS,PASS,PASS,False,False,L3 pair lacks required final-answer coverage,87f41e862303fe18af33d96390e412bc73865f6bb910eaeaad80f036b56f636b
batch2-09,main,2,L3,gpt-6-astra,medium,RUN_CAPTURED,182012,152704,29308,2123,24,21903,7040,85.23751211166382,0.551934,5,0,18743,0,partial,PASS,PASS,PASS,False,False,L3 pair lacks required final-answer coverage,9071c7bd46bc67e5e947731e59734238b2ca8e2bf5c5e611da2e5e4120dafd73
batch2-10,main,2,L3,gpt-5.6-sol,high,RUN_CAPTURED,297491,265344,32147,5820,2425,21010,6528,131.626531124115,0.3511256,9,0,18743,40960,partial,FAIL,PASS,PASS,False,False,L3 pair lacks required final-answer coverage,38d9111219d9fa1ea536cca65654b8c2449e90112d1004d7c74b99996f8839f5
batch2-11,main,2,L2,gpt-5.6-sol,high,RUN_CAPTURED,332977,297344,35633,5751,2688,21004,6528,160.70997285842896,0.3764896,11,0,18743,14463,partial,PASS,PASS,PASS,False,True,,fc1c7d4fd333bba0318f7e3f34357c91283c097c30f0235575fe135169bb1f60
batch2-12,main,2,L2,gpt-6-astra,medium,RUN_CAPTURED,115181,80384,34797,1687,9,21897,0,64.37393712997437,0.512704,3,0,18743,0,partial,PASS,PASS,PASS,False,True,,b4e00374a9042e01fd2a127af56b29355c83a1e4b2cec3386d00eba3599aad2d
batch2-13,main,2,L1,gpt-6-astra,medium,RUN_CAPTURED,150542,123648,26894,1893,49,21882,7040,74.87081503868103,0.487238,4,0,18743,0,partial,PASS,PASS,PASS,False,True,,39161b86d974a2a50464574051b91a720bcfbdc9d4a801ea4ff07a9e17079e2f
batch2-14,main,2,L1,gpt-5.6-sol,high,RUN_CAPTURED,186800,146432,40368,3991,1875,20989,0,108.40052676200867,0.2998648,5,0,18743,0,partial,PASS,PASS,PASS,False,True,,169c8d98f405e848f28beaa761dfb7a48efa5b6e0efc657d0900b7fc65b80c19
