policy_id,source_section,source_start,source_end,source_kind,source_text,b0_proposed,b1_proposed,b2_proposed,b3_proposed,read_before,proposed_validation,status,b0_actual_path,b0_actual_anchor,semantic_status,review_evidence,b1_actual_path,b1_actual_anchor,b1_movement_reason,b1_semantic_status,b1_review_evidence,b2_actual_path,b2_validation_evidence,b2_unverified_status,b3_actual_path,b3_actual_anchor,b3_semantic_status,b3_review_evidence
P001,Qello Repository Agent Contract,3,3,paragraph,이 문서는 Qello 저장소에서 동작하는 사람과 AI 에이전트의 공통 계약이다.,AGENTS.md#P001,AGENTS.md (invariant) + proposed reference/core#P001,B1 + proven automated check where applicable,B2 + scoped infra/test routing where applicable,세션 시작; 검증/보고 규칙은 완료 전에도 적용,"S1,S2,S3,S6,SAFETY-POLICY",SOURCE_INDEXED; SEMANTIC_REVIEW_PENDING; NOT_IMPLEMENTED,AGENTS.md,#objective-and-precedence,B0_SOURCE_PASS,gh-223-fixtures.json#/b0_source_review,AGENTS.md,objective-and-precedence,B0 root 저장소 계약과 우선순위 불변조건을 B1 root에 유지,B1_SOURCE_PASS,gh-223-fixtures.json#/b1_source_review,AGENTS.md,NOT_MACHINE_CHECKED,STATIC_POLICY_REVIEW_PASS; RUNTIME_LOADING_AND_REMOTE_ENFORCEMENT_UNVERIFIED,AGENTS.md,objective-and-precedence,B3_STATIC_REVIEW_PASS; INDEPENDENT_REVIEW_PASS; RUNTIME_LOADING_UNVERIFIED,.superpowers/sdd/2026-09-11-codex-instruction-architecture-phase2/scratch/task-6-report.md#source-unit-mapping-audit
P002,Qello Repository Agent Contract,5,6,paragraph,"도구별 지침보다 이 문서와 현재 브랜치의 `TASK.md`가 우선한다.
`CLAUDE.md`, 개별 Skill, 역할 문서와 자동화 스크립트는 이 문서의 정책을 완화하거나 우회할 수 없다.",AGENTS.md#P002,AGENTS.md (invariant) + proposed reference/core#P002,B1 + proven automated check where applicable,B2 + scoped infra/test routing where applicable,세션 시작; 검증/보고 규칙은 완료 전에도 적용,"S1,S2,S3,S6,SAFETY-POLICY",SOURCE_INDEXED; SEMANTIC_REVIEW_PENDING; NOT_IMPLEMENTED,AGENTS.md,#objective-and-precedence,B0_SOURCE_PASS,gh-223-fixtures.json#/b0_source_review,AGENTS.md,objective-and-precedence,B0 root 저장소 계약과 우선순위 불변조건을 B1 root에 유지,B1_SOURCE_PASS,gh-223-fixtures.json#/b1_source_review,AGENTS.md,NOT_MACHINE_CHECKED,STATIC_POLICY_REVIEW_PASS; RUNTIME_LOADING_AND_REMOTE_ENFORCEMENT_UNVERIFIED,AGENTS.md,objective-and-precedence,B3_STATIC_REVIEW_PASS; INDEPENDENT_REVIEW_PASS; RUNTIME_LOADING_UNVERIFIED,.superpowers/sdd/2026-09-11-codex-instruction-architecture-phase2/scratch/task-6-report.md#source-unit-mapping-audit
P003,1. 작업 시작 게이트,10,10,paragraph,구현 전에 다음 항목을 모두 충족한다.,AGENTS.md#P003,AGENTS.md (invariant) + proposed reference/core#P003,B1 + proven automated check where applicable,B2 + scoped infra/test routing where applicable,세션 시작; 검증/보고 규칙은 완료 전에도 적용,"S1,S2,S3,S6,SAFETY-POLICY",SOURCE_INDEXED; SEMANTIC_REVIEW_PENDING; NOT_IMPLEMENTED,AGENTS.md,#1-작업-시작-게이트,B0_SOURCE_PASS,gh-223-fixtures.json#/b0_source_review,.agents/skills/harness-issue/references/work-contract.md,1-작업-시작-게이트,B0 root 작업 시작 상세를 harness-issue 필수 reference로 이동,B1_SOURCE_PASS,gh-223-fixtures.json#/b1_source_review,.agents/skills/harness-issue/references/work-contract.md,validate-instruction-links.py:manifest-path-anchor-pass,STATIC_POLICY_REVIEW_PASS; RUNTIME_LOADING_AND_REMOTE_ENFORCEMENT_UNVERIFIED,.agents/skills/harness-issue/references/work-contract.md,1-작업-시작-게이트,B3_STATIC_REVIEW_PASS; INDEPENDENT_REVIEW_PASS; RUNTIME_LOADING_UNVERIFIED,.superpowers/sdd/2026-09-11-codex-instruction-architecture-phase2/scratch/task-6-report.md#source-unit-mapping-audit
P004,1. 작업 시작 게이트,12,12,list-rule,1. 백로그와 스프린트는 GitHub Project draft item으로 관리한다.,AGENTS.md#P004,AGENTS.md (invariant) + proposed reference/core#P004,B1 + proven automated check where applicable,B2 + scoped infra/test routing where applicable,세션 시작; 검증/보고 규칙은 완료 전에도 적용,"S1,S2,S3,S6,SAFETY-POLICY",SOURCE_INDEXED; SEMANTIC_REVIEW_PENDING; NOT_IMPLEMENTED,AGENTS.md,#1-작업-시작-게이트,B0_SOURCE_PASS,gh-223-fixtures.json#/b0_source_review,.agents/skills/harness-issue/references/work-contract.md,1-작업-시작-게이트,B0 root 작업 시작 상세를 harness-issue 필수 reference로 이동,B1_SOURCE_PASS,gh-223-fixtures.json#/b1_source_review,.agents/skills/harness-issue/references/work-contract.md,validate-instruction-links.py:manifest-path-anchor-pass,STATIC_POLICY_REVIEW_PASS; RUNTIME_LOADING_AND_REMOTE_ENFORCEMENT_UNVERIFIED,.agents/skills/harness-issue/references/work-contract.md,1-작업-시작-게이트,B3_STATIC_REVIEW_PASS; INDEPENDENT_REVIEW_PASS; RUNTIME_LOADING_UNVERIFIED,.superpowers/sdd/2026-09-11-codex-instruction-architecture-phase2/scratch/task-6-report.md#source-unit-mapping-audit
P005,1. 작업 시작 게이트,13,13,list-rule,2. 실제 구현을 시작할 draft item만 Repository Issue로 변환한다.,AGENTS.md#P005,AGENTS.md (invariant) + proposed reference/core#P005,B1 + proven automated check where applicable,B2 + scoped infra/test routing where applicable,세션 시작; 검증/보고 규칙은 완료 전에도 적용,"S1,S2,S3,S6,SAFETY-POLICY",SOURCE_INDEXED; SEMANTIC_REVIEW_PENDING; NOT_IMPLEMENTED,AGENTS.md,#1-작업-시작-게이트,B0_SOURCE_PASS,gh-223-fixtures.json#/b0_source_review,.agents/skills/harness-issue/references/work-contract.md,1-작업-시작-게이트,B0 root 작업 시작 상세를 harness-issue 필수 reference로 이동,B1_SOURCE_PASS,gh-223-fixtures.json#/b1_source_review,.agents/skills/harness-issue/references/work-contract.md,validate-instruction-links.py:manifest-path-anchor-pass,STATIC_POLICY_REVIEW_PASS; RUNTIME_LOADING_AND_REMOTE_ENFORCEMENT_UNVERIFIED,.agents/skills/harness-issue/references/work-contract.md,1-작업-시작-게이트,B3_STATIC_REVIEW_PASS; INDEPENDENT_REVIEW_PASS; RUNTIME_LOADING_UNVERIFIED,.superpowers/sdd/2026-09-11-codex-instruction-architecture-phase2/scratch/task-6-report.md#source-unit-mapping-audit
P006,1. 작업 시작 게이트,14,14,list-rule,3. Issue에서 범위와 완료 조건을 확인하고 `TASK.md`에 계약을 기록한다.,AGENTS.md#P006,AGENTS.md (invariant) + proposed reference/core#P006,B1 + proven automated check where applicable,B2 + scoped infra/test routing where applicable,세션 시작; 검증/보고 규칙은 완료 전에도 적용,"S1,S2,S3,S6,SAFETY-POLICY",SOURCE_INDEXED; SEMANTIC_REVIEW_PENDING; NOT_IMPLEMENTED,AGENTS.md,#1-작업-시작-게이트,B0_SOURCE_PASS,gh-223-fixtures.json#/b0_source_review,.agents/skills/harness-issue/references/work-contract.md,1-작업-시작-게이트,B0 root 작업 시작 상세를 harness-issue 필수 reference로 이동,B1_SOURCE_PASS,gh-223-fixtures.json#/b1_source_review,.agents/skills/harness-issue/references/work-contract.md; TASK.md; scripts/validate-task-contract.py,validate-instruction-links.py:manifest-path-anchor-pass; validate-task-contract.py:self-test-actual-staged-fixture-pass,STATIC_POLICY_REVIEW_PASS; RUNTIME_LOADING_AND_REMOTE_ENFORCEMENT_UNVERIFIED,.agents/skills/harness-issue/references/work-contract.md; TASK.md; scripts/validate-task-contract.py,1-작업-시작-게이트,B3_STATIC_REVIEW_PASS; INDEPENDENT_REVIEW_PASS; RUNTIME_LOADING_UNVERIFIED,.superpowers/sdd/2026-09-11-codex-instruction-architecture-phase2/scratch/task-6-report.md#source-unit-mapping-audit
P007,1. 작업 시작 게이트,15,15,list-rule,4. GitHub Issue 번호가 포함된 브랜치에서 작업한다.,AGENTS.md#P007,AGENTS.md (invariant) + proposed reference/core#P007,B1 + proven automated check where applicable,B2 + scoped infra/test routing where applicable,세션 시작; 검증/보고 규칙은 완료 전에도 적용,"S1,S2,S3,S6,SAFETY-POLICY",SOURCE_INDEXED; SEMANTIC_REVIEW_PENDING; NOT_IMPLEMENTED,AGENTS.md,#1-작업-시작-게이트,B0_SOURCE_PASS,gh-223-fixtures.json#/b0_source_review,.agents/skills/harness-issue/references/work-contract.md,1-작업-시작-게이트,B0 root 작업 시작 상세를 harness-issue 필수 reference로 이동,B1_SOURCE_PASS,gh-223-fixtures.json#/b1_source_review,.agents/skills/harness-issue/references/work-contract.md; TASK.md; scripts/validate-task-contract.py,validate-instruction-links.py:manifest-path-anchor-pass; validate-task-contract.py:self-test-actual-staged-fixture-pass,STATIC_POLICY_REVIEW_PASS; RUNTIME_LOADING_AND_REMOTE_ENFORCEMENT_UNVERIFIED,.agents/skills/harness-issue/references/work-contract.md; TASK.md; scripts/validate-task-contract.py,1-작업-시작-게이트,B3_STATIC_REVIEW_PASS; INDEPENDENT_REVIEW_PASS; RUNTIME_LOADING_UNVERIFIED,.superpowers/sdd/2026-09-11-codex-instruction-architecture-phase2/scratch/task-6-report.md#source-unit-mapping-audit
P008,1. 작업 시작 게이트,16,16,list-rule,5. 작업 시작 시 `git status --short`를 확인하고 기존 변경을 보존한다.,AGENTS.md#P008,AGENTS.md (invariant) + proposed reference/core#P008,B1 + proven automated check where applicable,B2 + scoped infra/test routing where applicable,세션 시작; 검증/보고 규칙은 완료 전에도 적용,"S1,S2,S3,S6,SAFETY-POLICY",SOURCE_INDEXED; SEMANTIC_REVIEW_PENDING; NOT_IMPLEMENTED,AGENTS.md,#1-작업-시작-게이트,B0_SOURCE_PASS,gh-223-fixtures.json#/b0_source_review,.agents/skills/harness-issue/references/work-contract.md,1-작업-시작-게이트,B0 root 작업 시작 상세를 harness-issue 필수 reference로 이동,B1_SOURCE_PASS,gh-223-fixtures.json#/b1_source_review,.agents/skills/harness-issue/references/work-contract.md,validate-instruction-links.py:manifest-path-anchor-pass,STATIC_POLICY_REVIEW_PASS; RUNTIME_LOADING_AND_REMOTE_ENFORCEMENT_UNVERIFIED,.agents/skills/harness-issue/references/work-contract.md,1-작업-시작-게이트,B3_STATIC_REVIEW_PASS; INDEPENDENT_REVIEW_PASS; RUNTIME_LOADING_UNVERIFIED,.superpowers/sdd/2026-09-11-codex-instruction-architecture-phase2/scratch/task-6-report.md#source-unit-mapping-audit
P009,1. 작업 시작 게이트,17,24,list-rule,"6. 브랜치는 로컬 `main`이 아니라 항상 최신 `origin/main`에서 분기한다
   (`./harness start`가 자동으로 `git fetch origin main`을 수행한다).
   가능하면 로컬 `main`도 같은 시점에 fast-forward로 함께 갱신한다
   (충돌 위험 없는 순수 fast-forward일 때만; 아니면 손대지 않는다).
   아직 머지되지 않은 다른 브랜치 위에 쌓는 stacked 작업은
   `./harness start --base <브랜치>`로 그 브랜치를 기준으로 분기하며,
   이후 `./harness sync`·`pr-ready`·PR 생성도 전부 그 기준을 따른다
   (`./harness base`로 확인).",AGENTS.md#P009,AGENTS.md (invariant) + proposed reference/core#P009,B1 + proven automated check where applicable,B2 + scoped infra/test routing where applicable,세션 시작; 검증/보고 규칙은 완료 전에도 적용,"S1,S2,S3,S6,SAFETY-POLICY",SOURCE_INDEXED; SEMANTIC_REVIEW_PENDING; NOT_IMPLEMENTED,AGENTS.md,#1-작업-시작-게이트,B0_SOURCE_PASS,gh-223-fixtures.json#/b0_source_review,.agents/skills/harness-issue/references/work-contract.md,1-작업-시작-게이트,B0 root 작업 시작 상세를 harness-issue 필수 reference로 이동,B1_SOURCE_PASS,gh-223-fixtures.json#/b1_source_review,.agents/skills/harness-issue/references/work-contract.md,validate-instruction-links.py:manifest-path-anchor-pass,STATIC_POLICY_REVIEW_PASS; RUNTIME_LOADING_AND_REMOTE_ENFORCEMENT_UNVERIFIED,.agents/skills/harness-issue/references/work-contract.md,1-작업-시작-게이트,B3_STATIC_REVIEW_PASS; INDEPENDENT_REVIEW_PASS; RUNTIME_LOADING_UNVERIFIED,.superpowers/sdd/2026-09-11-codex-instruction-architecture-phase2/scratch/task-6-report.md#source-unit-mapping-audit
P010,1. 작업 시작 게이트,25,25,list-rule,"7. 현재 브랜치, Issue와 `TASK.md`의 작업 식별자가 일치하는지 확인한다.",AGENTS.md#P010,AGENTS.md (invariant) + proposed reference/core#P010,B1 + proven automated check where applicable,B2 + scoped infra/test routing where applicable,세션 시작; 검증/보고 규칙은 완료 전에도 적용,"S1,S2,S3,S6,SAFETY-POLICY",SOURCE_INDEXED; SEMANTIC_REVIEW_PENDING; NOT_IMPLEMENTED,AGENTS.md,#1-작업-시작-게이트,B0_SOURCE_PASS,gh-223-fixtures.json#/b0_source_review,.agents/skills/harness-issue/references/work-contract.md,1-작업-시작-게이트,B0 root 작업 시작 상세를 harness-issue 필수 reference로 이동,B1_SOURCE_PASS,gh-223-fixtures.json#/b1_source_review,.agents/skills/harness-issue/references/work-contract.md; TASK.md; scripts/validate-task-contract.py,validate-instruction-links.py:manifest-path-anchor-pass; validate-task-contract.py:self-test-actual-staged-fixture-pass,STATIC_POLICY_REVIEW_PASS; RUNTIME_LOADING_AND_REMOTE_ENFORCEMENT_UNVERIFIED,.agents/skills/harness-issue/references/work-contract.md; TASK.md; scripts/validate-task-contract.py,1-작업-시작-게이트,B3_STATIC_REVIEW_PASS; INDEPENDENT_REVIEW_PASS; RUNTIME_LOADING_UNVERIFIED,.superpowers/sdd/2026-09-11-codex-instruction-architecture-phase2/scratch/task-6-report.md#source-unit-mapping-audit
